D,H,J,A,E,G,C,B,F
D,J,E,A,H,B,C,F,G
J,H,D,A,C,E,B,F,G
J,H,D,E,A,C,,,
J,D,H,G,A,E,C,F,B
J,G,H,D,C,F,E,A,B
A,D,G,E,F,C,J,H,B
D,A,J,H,E
J,H,C,D,E,A,B,G,F
D,J,H,A,E,C,B,F,G
A,D,E,B,H,J,C,F,G
A,D,J,H,C,E,F,G,B
D,E,J,C,A,H,B,F,G
C,J,H,E,F,A,B,D,G
H,F,B,G,C,J,E,A,D
A,J,E,D,H,C,B,G,F
H,J,C,B,F,D,E,G,A
H,F,A,D,G,J,C,E,B
F,H,D,C,G,E,B,J,A
J,D,A,C,H,E,B,F,G
F,J,D,H,E,C,B,A,G
F,A,J,B,C,H,G,D,E
H,F,B,G,J,C,E,A,D
H,F,B,G,E,C,D,A,J
D,J,H,E,C,A,F,B
F,C,B,H,D,A,G,E,J
A,D,J,H,G,E,B,C,F
D,J,A,B,G,C,F,E,H
H,F,G,C,B,E,D,J,A
H,F,C,G,B,D,E,A,J
G,B,F,H,D,A,C,J,E
H,C,B,J,D,A,F,E,G
D,A,H,E,B,G,C,F,J
F,B,C,A,D,H,E,G,J
H,A,B,F,C,G,D,E,J
B,G,F,H,D,E,A,C,J
D,A,E,H,C
D,A,E,H,C
D,E,A,H,C,F,G,J,B
D,J,B,A,E,C,H,F,G
D,A,H,E,J,C,B,G,F
E,A,D,H,C,F,B,J,G
J,F,B,A,D,C,E,H,G
D,J,E,A,C,F,H,B,G
J,D,H,A,E,C,B,F,G
H,A,J,C,D,G,E,B,F
A,G,D,J,H,F,C,B,E
J,C,E,D,H,A,F,G,B
B,G,F,E,C,A,D,J,H
E,D,J,A,B,C,F,H,G
D,E,H,A,J,C,B,F,G
H,F,C,A,B,G,J,E,D
F
H,D,B,G,E,C,A,J,F
E,D,A,J,B,C,H,F,G
C,H,G,J,F,B,E,D,A
H,F,B,G,E,C,J,A,D
J,G,H,A,E,C,B,D,F
A,D,E,J,C,F,H,G,B
H,F,A,G,B,J,C,D,E
J,C,H,A,D,G,B,E,F
D,H,J,C,G,B,E,A,F
J,D,E,A,H,C,B,G,F
H,J,D,C,A,B,E,F,G
J,F,H,B,D,E,G,C,A
H,F,G,B,C,A,E,J,D
A,J,D,H,B,G,F,E,C
D,C,H,J,A,E,B,G,F
H,D,A,J,C,F,B,E,G
J,D,F,H,E,A,B,C,G
J,A,B,D,H,C,E,G,F
H,G,F,J,B,C,D,E,A
D,H,A,E,G,B,C,F,J
H,G,D,F,C,A,E,B,J
J,H,C,D,A,F,E,G,B
F,A,H,G,D,C,B,E,J
D,J,H,A,G,C,E
G,B,F,H,A,E,C,D,J
D,J,E,A,B,C,H,F,G
F,G,B,H,C,D,J,A,E
F,H,B,G,C,J,D,A,E
C,J,H,D,A,E,G,B,F
D,J,H,A,E,C,B,G,F
D,E,J,A,C,G,H,F,B
D,A,E,J,C,H,B,F,G
B,D,H,E,G,F,C,J,A
H,C,F,E,B,J,D,G,A
D,A,C,J,H,E,B,F,G
J,D,C,H,E,A,B,F,G
G,B,H,F,D,A,C,E,J
B,G,F,H,A,D,E,C,J
C,D,E,A,J,H,G,F,B
F,B,H,D,A,G,C,J,E
H,A,D,B,E,J,F,C,G
E,D,A,J,C,H,B,G,F
J,F,H,D,E,A,B,C,G
H,B,G,J,F,E,C,D,A
H,F,C,E,B,A,J,G,D
D,A,H,E,J,C,B,F,G
D,J,A,H,B,C,E,F,G
J,D,H,B,E,A,F,G,C
E,J,D,H,C,A,G,B,F
F,G,H,B,C,A,E,D,J
D,J,E,A,H,B,C,F,G
H,D,J,G,F,A,B,E,C
D,J,E,H,A,B,F,G,C
F,D,J,A,B,C,H,E,G
J,D,A,E,C,G,B,F,H
H,G,C,F,E,D,A,J,B
H,D,E,F,A,B,C,G,J
H,G,F,B,C,J,A,E,D
H,A,D,G,F,C,B,J,E
J,H,D,C,A,E,B,F,G
